"id??","time create maybe","by who","type maybe","name off issue","what happen","how can see bug","memo / note / etc","want result","state now..","priority??"
"XQ0022","2025/10/18 21:13","Charlotte","Latency","History item missing after update","Occurs intermittently but with similar interaction pattern. Looks odd.","Apply filter, open first result, modify title, return to list, and inspect row data.","temp fixed then back","Updated values should remain consistent after refresh.","backlog maybe","H"
"XQ0023","2025/11/20 07:00","Isabella","Upload","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Team confused.","Change date range, export report, reopen page, and compare total counts.","check later","Updated values should remain consistent after refresh.","watching","H"
"XQ0024","02-06-2026 1:03 PM","Chloe","Export","Incorrect assignee shown on issue detail","Occurs intermittently but with similar interaction pattern. User angry.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe old data","Page should respond within acceptable wait time.","backlog maybe","ASAP"
"XQ0025","22.02.2026 19:43","Benjamin","Mobile","Incorrect assignee shown on issue detail","Reproduced by multiple team members in separate sessions. Not sure why.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe old data","Page should respond within acceptable wait time.","watching","ASAP"
"XQ0026","2025/12/04 20:02","Jack","Accuracy","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","screenshot none","Displayed totals should match exported totals.","new","M"
"XQ0027","01-08-2026 7:23 AM","Sophia","Latency","Notification appears for wrong recipient","Impacts daily workflow and causes user confusion. Again happened.","Change date range, export report, reopen page, and compare total counts.","check later","Page should respond within acceptable wait time.","watching","M"
"XQ0028","2026/01/06 12:18","Charlotte","Search","Unauthorized user can view restricted details","Reported by support after user complaints. Not sure why.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Confirmation message should reflect successful persistence.","???","M"
"XQ0029","16.11.2025 16:55","Liam","Latency","Search result order changes unexpectedly","Occurs intermittently but with similar interaction pattern. Team confused.","Create a new item, add note, submit, refresh browser, and verify recent activity.","temp fixed then back","Displayed totals should match exported totals.","backlog maybe","H"
"XQ0030","01-03-2026 1:38 AM","Emma","Checkout","Dashboard load time is too slow","Reproduced by multiple team members in separate sessions. Team confused.","Change date range, export report, reopen page, and compare total counts.","maybe old data","Confirmation message should reflect successful persistence.","new","H"
"XQ0031","01-27-2026 3:37 AM","Chloe","Reporting","Weekly totals are inconsistent after refresh","Observed by QA during routine regression checks. User angry.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","screenshot none","Confirmation message should reflect successful persistence.","open","H"
"XQ0032","2025/11/29 14:55","Lucas","Upload","Weekly totals are inconsistent after refresh","Occurs intermittently but with similar interaction pattern. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","cannot repro always","Updated values should remain consistent after refresh.","backlog maybe","ASAP"
"XQ0033","01-16-2026 3:31 PM","Evelyn","Upload","Incorrect assignee shown on issue detail","Occurs intermittently but with similar interaction pattern. User angry.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","cannot repro always","Users should only access data within granted permissions.","backlog maybe","L"
"XQ0034","2025/11/28 02:15","Noah","Permissions","Incorrect assignee shown on issue detail","Reported by support after user complaints. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","maybe old data","Page should respond within acceptable wait time.","watching","L"
"XQ0035","2025/09/25 09:40","Isabella","Notifications","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","cannot repro always","Users should only access data within granted permissions.","new","M"
"XQ0036","2025/10/10 08:08","Amelia","Latency","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. User angry.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","temp fixed then back","Page should respond within acceptable wait time.","???","ASAP"
"XQ0037","2026/02/03 17:48","Charlotte","Profile","History item missing after update","Occurs intermittently but with similar interaction pattern. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe old data","Displayed totals should match exported totals.","backlog maybe","ASAP"
"XQ0038","2025/11/11 09:07","Jack","Mobile","Unauthorized user can view restricted details","Observed by QA during routine regression checks. Looks odd.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe old data","Confirmation message should reflect successful persistence.","open","L"
"XQ0039","17.10.2025 18:18","Lucas","Permissions","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Team confused.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Users should only access data within granted permissions.","backlog maybe","M"
"XQ0040","2025/12/23 09:28","Chloe","Feature","History item missing after update","Impacts daily workflow and causes user confusion. Team confused.","Apply filter, open first result, modify title, return to list, and inspect row data.","cannot repro always","Users should only access data within granted permissions.","open","L"
"XQ0041","03.11.2025 20:40","Emma","Security","Unauthorized user can view restricted details","Impacts daily workflow and causes user confusion. Team confused.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","temp fixed then back","Confirmation message should reflect successful persistence.","new","L"
"XQ0042","10.12.2025 09:24","Evelyn","Checkout","Dashboard load time is too slow","Occurs intermittently but with similar interaction pattern. Again happened.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe old data","Users should only access data within granted permissions.","open","M"
"XQ0043","24.01.2026 17:41","Jack","Profile","Unauthorized user can view restricted details","Reported by support after user complaints. Team confused.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","screenshot none","Users should only access data within granted permissions.","open","H"
"XQ0044","26.12.2025 20:40","Harper","Notifications","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. User angry.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","check later","Users should only access data within granted permissions.","backlog maybe","ASAP"
"XQ0045","11.09.2025 10:11","Elijah","Export","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. User angry.","Apply filter, open first result, modify title, return to list, and inspect row data.","cannot repro always","Displayed totals should match exported totals.","???","M"
"XQ0046","01-27-2026 9:35 PM","Olivia","Accuracy","Notification appears for wrong recipient","Reproduced by multiple team members in separate sessions. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","cannot repro always","Users should only access data within granted permissions.","watching","ASAP"
"XQ0047","2025/11/01 23:32","Noah","Profile","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Team confused.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Displayed totals should match exported totals.","open","M"
"XQ0048","21.10.2025 14:36","Isabella","Accuracy","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Looks odd.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe old data","Page should respond within acceptable wait time.","new","M"
"XQ0049","15.11.2025 09:05","Noah","Search","Notification appears for wrong recipient","Reproduced by multiple team members in separate sessions. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","temp fixed then back","Updated values should remain consistent after refresh.","watching","M"
"XQ0050","09-13-2025 1:28 PM","Charlotte","Security","Profile updates are not reflected immediately","Observed by QA during routine regression checks. Team confused.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe old data","Confirmation message should reflect successful persistence.","new","H"
"XQ0051","11-23-2025 3:26 PM","Lucas","Export","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Team confused.","Change date range, export report, reopen page, and compare total counts.","cannot repro always","Users should only access data within granted permissions.","new","H"
"XQ0052","25.11.2025 14:58","Henry","Mobile","Exported file contains stale values","Observed by QA during routine regression checks. Team confused.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","check later","Page should respond within acceptable wait time.","watching","M"
"XQ0053","01-07-2026 8:30 PM","Sophia","Permissions","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. User angry.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Updated values should remain consistent after refresh.","new","H"
"XQ0054","2026/01/24 03:19","Benjamin","Export","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Team confused.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Confirmation message should reflect successful persistence.","open","L"
"XQ0055","09-29-2025 10:45 AM","Olivia","Latency","History item missing after update","Observed by QA during routine regression checks. User angry.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","temp fixed then back","Page should respond within acceptable wait time.","???","ASAP"
"XQ0056","2025/09/29 10:32","Mia","Accuracy","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Team confused.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Page should respond within acceptable wait time.","watching","H"
"XQ0057","2025/12/29 15:51","Mason","Upload","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Looks odd.","Create a new item, add note, submit, refresh browser, and verify recent activity.","check later","Confirmation message should reflect successful persistence.","backlog maybe","M"
"XQ0058","2025/09/15 13:41","Noah","Export","Notification appears for wrong recipient","Occurs intermittently but with similar interaction pattern. User angry.","Create a new item, add note, submit, refresh browser, and verify recent activity.","temp fixed then back","Confirmation message should reflect successful persistence.","backlog maybe","ASAP"
"XQ0059","12.01.2026 15:07","Ava","Upload","Save button confirms but data is not persisted","Reproduced by multiple team members in separate sessions. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","temp fixed then back","Displayed totals should match exported totals.","new","L"
"XQ0060","19.12.2025 22:05","Jack","Profile","Weekly totals are inconsistent after refresh","Occurs intermittently but with similar interaction pattern. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe old data","Displayed totals should match exported totals.","open","L"
"XQ0061","10-15-2025 9:52 PM","Isabella","Upload","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. User angry.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe old data","Displayed totals should match exported totals.","watching","ASAP"
"XQ0062","15.02.2026 11:40","Benjamin","Checkout","Unauthorized user can view restricted details","Reported by support after user complaints. Not sure why.","Change date range, export report, reopen page, and compare total counts.","temp fixed then back","Users should only access data within granted permissions.","backlog maybe","ASAP"
"XQ0063","2025/10/30 06:14","Henry","Latency","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Team confused.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Confirmation message should reflect successful persistence.","watching","M"
"XQ0064","10-01-2025 3:23 PM","Harper","Reporting","Profile updates are not reflected immediately","Reproduced by multiple team members in separate sessions. Not sure why.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","cannot repro always","Page should respond within acceptable wait time.","new","M"
"XQ0065","03.11.2025 04:19","Evelyn","Usability","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Not sure why.","Change date range, export report, reopen page, and compare total counts.","temp fixed then back","Users should only access data within granted permissions.","???","M"
"XQ0066","2026/01/02 10:26","Noah","Search","Save button confirms but data is not persisted","Reported by support after user complaints. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","cannot repro always","Users should only access data within granted permissions.","???","H"
"XQ0067","12-25-2025 12:18 PM","James","Mobile","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","screenshot none","Users should only access data within granted permissions.","backlog maybe","H"
"XQ0068","31.10.2025 23:17","James","Accuracy","Dashboard load time is too slow","Occurs intermittently but with similar interaction pattern. Team confused.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","cannot repro always","Updated values should remain consistent after refresh.","backlog maybe","H"
"XQ0069","02-03-2026 10:13 AM","Noah","Export","History item missing after update","Reproduced by multiple team members in separate sessions. Not sure why.","Create a new item, add note, submit, refresh browser, and verify recent activity.","screenshot none","Page should respond within acceptable wait time.","backlog maybe","M"
"XQ0070","2025/10/09 15:44","Benjamin","Feature","History item missing after update","Observed by QA during routine regression checks. Looks odd.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Updated values should remain consistent after refresh.","new","L"
"XQ0071","01-08-2026 8:13 AM","Jack","Profile","Notification appears for wrong recipient","Occurs intermittently but with similar interaction pattern. Team confused.","Change date range, export report, reopen page, and compare total counts.","cannot repro always","Users should only access data within granted permissions.","watching","ASAP"
"XQ0072","2026/02/28 18:07","Mason","Feature","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. User angry.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","check later","Users should only access data within granted permissions.","new","ASAP"
"XQ0073","11-23-2025 3:01 AM","Benjamin","Upload","Incorrect assignee shown on issue detail","Reported by support after user complaints. Looks odd.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","check later","Page should respond within acceptable wait time.","???","ASAP"
"XQ0074","10-24-2025 1:09 PM","Evelyn","Latency","History item missing after update","Occurs intermittently but with similar interaction pattern. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe old data","Updated values should remain consistent after refresh.","watching","ASAP"
"XQ0075","2025/12/14 08:09","Amelia","Profile","History item missing after update","Impacts daily workflow and causes user confusion. Again happened.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Page should respond within acceptable wait time.","new","M"
"XQ0076","2026/01/02 16:21","Evelyn","Accuracy","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Team confused.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","check later","Page should respond within acceptable wait time.","backlog maybe","ASAP"
"XQ0077","2025/09/24 15:25","Lucas","Upload","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Not sure why.","Change date range, export report, reopen page, and compare total counts.","temp fixed then back","Displayed totals should match exported totals.","backlog maybe","H"
"XQ0078","11-30-2025 12:14 AM","Isabella","Usability","Unauthorized user can view restricted details","Reported by support after user complaints. Team confused.","Create a new item, add note, submit, refresh browser, and verify recent activity.","cannot repro always","Users should only access data within granted permissions.","???","L"
"XQ0079","12-05-2025 11:43 PM","Mia","Dashboard","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Not sure why.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","screenshot none","Page should respond within acceptable wait time.","new","H"
"XQ0080","11.10.2025 09:14","Evelyn","Reporting","Exported file contains stale values","Occurs intermittently but with similar interaction pattern. Team confused.","Create a new item, add note, submit, refresh browser, and verify recent activity.","temp fixed then back","Users should only access data within granted permissions.","backlog maybe","L"
"XQ0081","08.12.2025 03:13","Henry","Dashboard","Exported file contains stale values","Reported by support after user complaints. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","cannot repro always","Confirmation message should reflect successful persistence.","new","ASAP"
"XQ0082","09-29-2025 8:13 AM","Jack","Dashboard","Unauthorized user can view restricted details","Impacts daily workflow and causes user confusion. Looks odd.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","cannot repro always","Users should only access data within granted permissions.","???","ASAP"
"XQ0083","2026/01/14 11:17","Liam","Reporting","Unauthorized user can view restricted details","Reported by support after user complaints. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","screenshot none","Page should respond within acceptable wait time.","backlog maybe","M"
"XQ0084","01-13-2026 11:49 PM","Lucas","Feature","Search result order changes unexpectedly","Reported by support after user complaints. Team confused.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Confirmation message should reflect successful persistence.","???","ASAP"
"XQ0085","02-26-2026 2:26 AM","Ava","Feature","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Looks odd.","Change date range, export report, reopen page, and compare total counts.","maybe old data","Users should only access data within granted permissions.","watching","ASAP"
"XQ0086","01-19-2026 6:26 PM","Elijah","Latency","Save button confirms but data is not persisted","Observed by QA during routine regression checks. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","temp fixed then back","Updated values should remain consistent after refresh.","new","ASAP"
"XQ0087","18.11.2025 13:45","Henry","Search","Profile updates are not reflected immediately","Reported by support after user complaints. Looks odd.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","check later","Confirmation message should reflect successful persistence.","???","H"
"XQ0088","2026/02/17 21:49","Benjamin","Profile","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Team confused.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Users should only access data within granted permissions.","???","L"
"XQ0089","05.10.2025 06:32","Mia","Dashboard","Search result order changes unexpectedly","Observed by QA during routine regression checks. Again happened.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","cannot repro always","Page should respond within acceptable wait time.","new","H"
"XQ0090","2025/11/09 03:22","Liam","Export","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. User angry.","Create a new item, add note, submit, refresh browser, and verify recent activity.","screenshot none","Users should only access data within granted permissions.","???","H"
"XQ0091","26.10.2025 07:49","Liam","Search","History item missing after update","Impacts daily workflow and causes user confusion. Not sure why.","Change date range, export report, reopen page, and compare total counts.","check later","Displayed totals should match exported totals.","new","M"
"XQ0092","15.09.2025 09:12","Elijah","Dashboard","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. Not sure why.","Change date range, export report, reopen page, and compare total counts.","screenshot none","Confirmation message should reflect successful persistence.","watching","ASAP"
"XQ0093","2025/12/07 01:37","Olivia","Latency","Exported file contains stale values","Observed by QA during routine regression checks. Not sure why.","Create a new item, add note, submit, refresh browser, and verify recent activity.","cannot repro always","Updated values should remain consistent after refresh.","open","ASAP"
"XQ0094","2025/11/30 06:37","James","Upload","Save button confirms but data is not persisted","Observed by QA during routine regression checks. Not sure why.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","cannot repro always","Confirmation message should reflect successful persistence.","open","L"
"XQ0095","01-29-2026 10:26 PM","Olivia","Dashboard","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Again happened.","Create a new item, add note, submit, refresh browser, and verify recent activity.","temp fixed then back","Displayed totals should match exported totals.","backlog maybe","M"
"XQ0096","11-28-2025 4:01 PM","Isabella","Export","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Not sure why.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","screenshot none","Users should only access data within granted permissions.","backlog maybe","L"
"XQ0097","10.02.2026 15:15","Mia","Accuracy","Unauthorized user can view restricted details","Reported by support after user complaints. Team confused.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","cannot repro always","Page should respond within acceptable wait time.","backlog maybe","ASAP"
"XQ0098","2025/09/27 18:36","Benjamin","Feature","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Not sure why.","Apply filter, open first result, modify title, return to list, and inspect row data.","check later","Users should only access data within granted permissions.","new","ASAP"
"XQ0099","02-01-2026 9:57 PM","Olivia","Search","Dashboard load time is too slow","Reproduced by multiple team members in separate sessions. User angry.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe old data","Users should only access data within granted permissions.","backlog maybe","ASAP"
"XQ0100","2025/09/15 00:08","Liam","Profile","Incorrect assignee shown on issue detail","Reproduced by multiple team members in separate sessions. Not sure why.","Create a new item, add note, submit, refresh browser, and verify recent activity.","maybe old data","Confirmation message should reflect successful persistence.","watching","ASAP"
