"issue id","create time","who create","kind of trouble","name off issue","issue description","how to reproduce","note","expectaion","current statuz","prio lvl"
"Q-0082","03-Dec-2025 05:07","Charlotte","security","History line missing for recent update","Observed during normal daily checking with no special setup. Happened more than once this week and different people confirmed it.","From dashboard click quick add; cancel once; do it again; finish and check result.","Customer called it ""unreliable"" in feedback.","List and report totals should stay consistent after refresh.","new","low"
"Q-0083","08-Feb-2026 12:58","Elijah","latency","Error message is too vague for users","Happened more than once this week and different people confirmed it. Happened more than once this week and different people confirmed it.","From dashboard click quick add; cancel once; do it again; finish and check result.","Customer called it ""unreliable"" in feedback.","Users should only see their own permitted information.","open","urgent"
"Q-0084","18-Feb-2026 14:29","Evelyn","mobile view","Old info still shown after edit","Happened more than once this week and different people confirmed it. Noticed right before handoff and blocked the work for a while.","Use search with simple word; open first result; edit title; return to list view.","Could be related to timing but not sure.","When button says done, data should actually be done and visible.","watching","high"
"Q-0085","27-Feb-2026 15:42","Ava","reporting","Download file name is weird and unclear","Issue is small on paper but causes confusion for most users. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Only some teammates can reproduce this every time.","List and report totals should stay consistent after refresh.","new","normal"
"Q-0086","02-Dec-2025 05:44","Emma","upload","Quick action opens wrong panel","Customer-facing team reported complaints from multiple accounts. Issue is small on paper but causes confusion for most users.","Use search with simple word; open first result; edit title; return to list view.","No screenshot yet, need to capture next time.","List and report totals should stay consistent after refresh.","retest later","urgent"
"Q-0087","2026-02-07 12:57","Elijah","feature","Screen jumps back to top by itself","Noticed right before handoff and blocked the work for a while. Noticed right before handoff and blocked the work for a while.","From dashboard click quick add; cancel once; do it again; finish and check result.","No screenshot yet, need to capture next time.","Action should complete in a reasonable time without long waiting.","open","low"
"Q-0088","2026-01-17 12:36","Noah","notification","One user got another user summary","Noticed right before handoff and blocked the work for a while. Customer-facing team reported complaints from multiple accounts.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","Users should only see their own permitted information.","retest later","high"
"Q-0089","2026-02-13 03:37","Lucas","usability","Cannot finish steps after adding note","Customer-facing team reported complaints from multiple accounts. Happened more than once this week and different people confirmed it.","Open main page; pick any active record; update one field; click save; go back and reopen.","Might be linked to old data still cached somewhere.","When button says done, data should actually be done and visible.","open","normal"
"Q-0090","14-Jan-2026 11:01","Amelia","permission","Quick action opens wrong panel","Looks random at first but appears around same part of the flow. Issue is small on paper but causes confusion for most users.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Might be linked to old data still cached somewhere.","When button says done, data should actually be done and visible.","retest later","normal"
"Q-0091","2026-01-19 20:54","Olivia","feature","Button says saved but nothing was saved","Noticed right before handoff and blocked the work for a while. Noticed right before handoff and blocked the work for a while.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","Action should complete in a reasonable time without long waiting.","retest later","low"
"Q-0092","26-Feb-2026 14:25","Emma","accuracy","Sometimes wrong item appears in the list","Observed during normal daily checking with no special setup. Noticed right before handoff and blocked the work for a while.","Create a new entry; add short note; submit; refresh browser; check recent list.","Could be related to timing but not sure.","Messages should clearly tell people what happened and what to do next.","retest later","urgent"
"Q-0093","26-Dec-2025 02:48","Jack","accuracy","Button says saved but nothing was saved","Issue is small on paper but causes confusion for most users. Observed during normal daily checking with no special setup.","Open main page; pick any active record; update one field; click save; go back and reopen.","Happens mostly in afternoon according to support desk.","Action should complete in a reasonable time without long waiting.","retest later","low"
"Q-0094","02-Dec-2025 10:21","Jack","reporting","Download file name is weird and unclear","Issue is small on paper but causes confusion for most users. Happened more than once this week and different people confirmed it.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Might be linked to old data still cached somewhere.","Action should complete in a reasonable time without long waiting.","new","normal"
"Q-0095","30-Jan-2026 11:06","Amelia","search","People can see things they should not see","Customer-facing team reported complaints from multiple accounts. Observed during normal daily checking with no special setup.","Open main page; pick any active record; update one field; click save; go back and reopen.","Only some teammates can reproduce this every time.","Action should complete in a reasonable time without long waiting.","retest later","high"
"Q-0096","12/31/2025 2:49 AM","Olivia","profile","Filter looks applied but result is same","Customer-facing team reported complaints from multiple accounts. Customer-facing team reported complaints from multiple accounts.","Login as normal user; visit summary area; switch tabs twice; come back to first tab.","Only some teammates can reproduce this every time.","Action should complete in a reasonable time without long waiting.","new","low"
"Q-0097","2026-02-18 09:53","Emma","export","Quick action opens wrong panel","Customer-facing team reported complaints from multiple accounts. Customer-facing team reported complaints from multiple accounts.","Create a new entry; add short note; submit; refresh browser; check recent list.","Customer called it ""unreliable"" in feedback.","List and report totals should stay consistent after refresh.","new","urgent"
"Q-0098","01/08/2026 7:43 AM","Evelyn","dashboard","Quick action opens wrong panel","Issue is small on paper but causes confusion for most users. Observed during normal daily checking with no special setup.","Create a new entry; add short note; submit; refresh browser; check recent list.","Could be related to timing but not sure.","Users should only see their own permitted information.","new","high"
