"issue_id","created_at","created_by","category","issue_title","issue_description","reproduction_steps","notes","expected_result","status","priority"
"QA-0017","2025-12-15 14:22:34","Chloe","Checkout","Weekly totals are inconsistent after refresh","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Page should respond within acceptable wait time.","In Review","Critical"
"QA-0018","2025-12-08 13:18:34","Mason","Feature","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Displayed totals should match exported totals.","In Review","Low"
"QA-0019","2026-01-09 01:18:34","Evelyn","Accuracy","Save button confirms but data is not persisted","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Displayed totals should match exported totals.","Retest","Medium"
"QA-0020","2025-09-24 08:35:34","Noah","Checkout","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Open","High"
"QA-0021","2026-02-07 03:43:34","Harper","Permissions","Unauthorized user can view restricted details","Reported by support after user complaints. Observed by QA during routine regression checks.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Open","Low"
"QA-0022","2025-11-09 23:01:34","Sophia","Checkout","Exported file contains stale values","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Open","Low"
"QA-0023","2025-09-25 02:49:34","James","Usability","Unauthorized user can view restricted details","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Updated values should remain consistent after refresh.","New","Low"
"QA-0024","2026-01-01 11:01:34","Jack","Checkout","Exported file contains stale values","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Open","High"
"QA-0025","2026-02-12 12:01:34","Lucas","Accuracy","Incorrect assignee shown on issue detail","Observed by QA during routine regression checks. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Page should respond within acceptable wait time.","Retest","Critical"
"QA-0026","2025-12-28 13:37:34","Sophia","Security","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Page should respond within acceptable wait time.","In Review","High"
"QA-0027","2026-01-09 22:16:34","Isabella","Export","Notification appears for wrong recipient","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Displayed totals should match exported totals.","Open","Low"
"QA-0028","2025-12-21 17:10:34","James","Permissions","Incorrect assignee shown on issue detail","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Page should respond within acceptable wait time.","New","Low"
"QA-0029","2026-02-11 09:58:34","James","Checkout","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","Medium"
"QA-0030","2025-09-28 01:02:34","Harper","Latency","Dashboard load time is too slow","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Page should respond within acceptable wait time.","Open","Medium"
"QA-0031","2026-01-29 10:52:34","Lucas","Export","Dashboard load time is too slow","Observed by QA during routine regression checks. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Displayed totals should match exported totals.","New","Critical"
"QA-0032","2025-09-05 05:28:34","Jack","Feature","Search result order changes unexpectedly","Reported by support after user complaints. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Displayed totals should match exported totals.","New","Critical"
"QA-0033","2025-11-23 16:47:34","Olivia","Accuracy","Notification appears for wrong recipient","Occurs intermittently but with similar interaction pattern. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Blocked","Critical"
"QA-0034","2025-11-24 06:21:34","Elijah","Dashboard","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Users should only access data within granted permissions.","New","Critical"
"QA-0035","2025-09-15 13:30:34","Mason","Reporting","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Displayed totals should match exported totals.","Open","Low"
"QA-0036","2026-02-14 05:12:34","Olivia","Dashboard","Exported file contains stale values","Reported by support after user complaints. Reported by support after user complaints.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Users should only access data within granted permissions.","New","Medium"
"QA-0037","2025-11-12 07:58:34","Lucas","Dashboard","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","Medium"
"QA-0038","2025-09-18 01:40:34","Mason","Checkout","Dashboard load time is too slow","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Displayed totals should match exported totals.","New","High"
"QA-0039","2025-12-04 05:07:34","Sophia","Dashboard","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","New","Low"
"QA-0040","2026-01-10 16:40:34","Charlotte","Accuracy","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Occurs intermittently but with similar interaction pattern.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Page should respond within acceptable wait time.","Blocked","Medium"
"QA-0041","2026-02-13 03:45:34","Liam","Profile","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Critical"
"QA-0042","2026-01-28 11:45:34","Evelyn","Usability","Incorrect assignee shown on issue detail","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Page should respond within acceptable wait time.","Retest","Medium"
"QA-0043","2025-12-20 01:47:34","Noah","Notifications","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Retest","Medium"
"QA-0044","2026-01-13 01:52:34","Evelyn","Usability","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","New","Critical"
"QA-0045","2025-11-25 07:03:34","Evelyn","Export","Search result order changes unexpectedly","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Retest","High"
"QA-0046","2025-12-24 00:36:34","James","Dashboard","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","Medium"
"QA-0047","2025-11-02 22:36:34","Jack","Upload","Dashboard load time is too slow","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","In Review","Medium"
"QA-0048","2025-10-14 00:07:34","Elijah","Search","Search result order changes unexpectedly","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Displayed totals should match exported totals.","Blocked","Critical"
"QA-0049","2026-01-17 00:01:34","Harper","Upload","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Displayed totals should match exported totals.","In Review","Low"
"QA-0050","2026-02-10 02:51:34","Evelyn","Upload","Search result order changes unexpectedly","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Users should only access data within granted permissions.","Blocked","Medium"
"QA-0051","2026-02-10 20:23:34","Ava","Feature","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Page should respond within acceptable wait time.","In Review","Low"
"QA-0052","2026-02-01 11:47:34","Elijah","Export","History item missing after update","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Page should respond within acceptable wait time.","Open","Critical"
"QA-0053","2026-01-23 03:11:34","Benjamin","Latency","Search result order changes unexpectedly","Observed by QA during routine regression checks. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Page should respond within acceptable wait time.","Retest","Low"
"QA-0054","2026-02-16 15:12:34","Emma","Notifications","Profile updates are not reflected immediately","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Low"
"QA-0055","2025-11-10 23:31:34","Lucas","Dashboard","Unauthorized user can view restricted details","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Page should respond within acceptable wait time.","In Review","Low"
"QA-0056","2025-09-24 00:05:34","Benjamin","Search","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Page should respond within acceptable wait time.","Retest","Critical"
"QA-0057","2025-11-14 19:49:34","Sophia","Reporting","Unauthorized user can view restricted details","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Displayed totals should match exported totals.","New","Low"
"QA-0058","2025-10-15 18:24:34","Harper","Export","History item missing after update","Reproduced by multiple team members in separate sessions. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","In Review","High"
"QA-0059","2025-12-09 11:23:34","Charlotte","Reporting","Search result order changes unexpectedly","Reported by support after user complaints. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Displayed totals should match exported totals.","Open","Medium"
"QA-0060","2025-09-20 16:49:34","Benjamin","Security","Incorrect assignee shown on issue detail","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Low"
"QA-0061","2025-10-08 03:55:34","Lucas","Accuracy","Save button confirms but data is not persisted","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","Open","Medium"
"QA-0062","2026-02-04 05:46:34","Ava","Latency","History item missing after update","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","Blocked","High"
"QA-0063","2025-12-28 19:40:34","Henry","Search","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","In Review","Critical"
"QA-0064","2025-09-12 00:27:34","Benjamin","Upload","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Low"
"QA-0065","2025-09-30 06:32:34","Isabella","Mobile","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Reproduced by multiple team members in separate sessions.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Page should respond within acceptable wait time.","Retest","High"
"QA-0066","2025-10-10 05:42:34","Harper","Dashboard","Exported file contains stale values","Observed by QA during routine regression checks. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Retest","Critical"
"QA-0067","2025-09-26 15:41:34","Henry","Latency","Incorrect assignee shown on issue detail","Observed by QA during routine regression checks. Observed by QA during routine regression checks.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","In Review","Medium"
"QA-0068","2025-12-19 18:07:34","Chloe","Security","Notification appears for wrong recipient","Reported by support after user complaints. Impacts daily workflow and causes user confusion.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","In Review","Medium"
"QA-0069","2025-12-25 00:01:34","Lucas","Export","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Blocked","High"
"QA-0070","2026-01-06 08:31:34","Mia","Feature","Exported file contains stale values","Reproduced by multiple team members in separate sessions. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Page should respond within acceptable wait time.","Blocked","High"
"QA-0071","2026-02-06 22:49:34","Jack","Security","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Critical"
"QA-0072","2025-11-23 03:35:34","Elijah","Permissions","History item missing after update","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Page should respond within acceptable wait time.","New","Medium"
"QA-0073","2025-09-20 10:55:34","Mason","Latency","Exported file contains stale values","Observed by QA during routine regression checks. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Open","Critical"
"QA-0074","2025-09-11 16:50:34","Noah","Latency","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Displayed totals should match exported totals.","Blocked","Critical"
"QA-0075","2026-01-06 13:10:34","Mia","Mobile","Search result order changes unexpectedly","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Updated values should remain consistent after refresh.","New","Low"
"QA-0076","2025-12-21 03:34:34","Olivia","Latency","Weekly totals are inconsistent after refresh","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Blocked","Medium"
"QA-0077","2025-11-04 00:01:34","Evelyn","Checkout","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Updated values should remain consistent after refresh.","New","Medium"
"QA-0078","2025-12-21 05:44:34","Mason","Permissions","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Page should respond within acceptable wait time.","Open","High"
"QA-0079","2025-12-26 11:32:34","Isabella","Upload","Exported file contains stale values","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Displayed totals should match exported totals.","New","High"
"QA-0080","2025-11-01 01:49:34","Chloe","Security","Incorrect assignee shown on issue detail","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Retest","Critical"
"QA-0081","2025-11-06 08:08:34","Mason","Search","Exported file contains stale values","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Page should respond within acceptable wait time.","In Review","Low"
"QA-0082","2025-09-13 15:45:34","Olivia","Export","Unauthorized user can view restricted details","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Updated values should remain consistent after refresh.","New","Medium"
"QA-0083","2026-02-01 15:21:34","Mason","Security","Save button confirms but data is not persisted","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","Low"
"QA-0084","2025-10-20 18:24:34","Chloe","Notifications","Notification appears for wrong recipient","Observed by QA during routine regression checks. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Displayed totals should match exported totals.","Retest","Critical"
"QA-0085","2025-12-26 21:46:34","Isabella","Dashboard","Notification appears for wrong recipient","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Confirmation message should reflect successful persistence.","Retest","High"
"QA-0086","2026-02-14 22:22:34","Amelia","Latency","Incorrect assignee shown on issue detail","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Page should respond within acceptable wait time.","Blocked","Critical"
"QA-0087","2025-11-25 12:17:34","Evelyn","Security","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Displayed totals should match exported totals.","New","Low"
"QA-0088","2025-09-17 09:25:34","Mia","Upload","Search result order changes unexpectedly","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","New","High"
"QA-0089","2026-01-20 07:41:34","Elijah","Permissions","Weekly totals are inconsistent after refresh","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","High"
"QA-0090","2025-10-28 00:25:34","Olivia","Feature","Unauthorized user can view restricted details","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Page should respond within acceptable wait time.","New","High"
"QA-0091","2025-10-10 17:48:34","Ava","Search","Notification appears for wrong recipient","Reproduced by multiple team members in separate sessions. Occurs intermittently but with similar interaction pattern.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Updated values should remain consistent after refresh.","Retest","High"
"QA-0092","2025-11-16 16:30:34","Harper","Checkout","Exported file contains stale values","Reported by support after user complaints. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","Medium"
"QA-0093","2025-12-05 08:19:34","Mason","Checkout","Save button confirms but data is not persisted","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Page should respond within acceptable wait time.","Blocked","Low"
"QA-0094","2025-10-02 09:33:34","Olivia","Export","Exported file contains stale values","Occurs intermittently but with similar interaction pattern. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Users should only access data within granted permissions.","New","High"
"QA-0095","2025-12-06 18:39:34","Ava","Upload","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. Observed by QA during routine regression checks.","Create a new item, add note, submit, refresh browser, and verify recent activity.","Additional logs available upon request.","Page should respond within acceptable wait time.","New","Critical"
"QA-0096","2026-01-01 18:38:34","Henry","Security","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","Additional logs available upon request.","Users should only access data within granted permissions.","Blocked","Critical"
"QA-0097","2025-09-03 13:51:34","Amelia","Feature","Search result order changes unexpectedly","Reproduced by multiple team members in separate sessions. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","Additional logs available upon request.","Displayed totals should match exported totals.","Open","Critical"
"QA-0098","2025-12-20 10:29:34","Henry","Export","Unauthorized user can view restricted details","Reported by support after user complaints. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","Additional logs available upon request.","Users should only access data within granted permissions.","In Review","Low"
"QA-0099","2026-01-01 13:08:34","Ava","Checkout","Incorrect assignee shown on issue detail","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Users should only access data within granted permissions.","Retest","Critical"
"QA-0100","2026-02-24 00:09:34","Evelyn","Permissions","Search result order changes unexpectedly","Reported by support after user complaints. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","Additional logs available upon request.","Displayed totals should match exported totals.","Open","Critical"
