"issue id","create time","who create","kind of trouble","issue name","description","how to repro","note","expectation","statuz","prio lvl"
"Q-0041","23-Nov-2025 08:44","Amelia","Reporting","Search result order changes unexpectedly","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Updated values should remain consistent after refresh.","open","urgent"
"Q-0042","2025-12-16 14:21","Emma","Permissions","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","customer raised this","Displayed totals should match exported totals.","need check","high"
"Q-0043","09/27/2025 7:31 AM","Ava","Upload","Notification appears for wrong recipient","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","need more check","Users should only access data within granted permissions.","retest","high"
"Q-0044","01/15/2026 2:12 PM","Isabella","Search","History item missing after update","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Apply filter, open first result, modify title, return to list, and inspect row data.","seen twice this week","Displayed totals should match exported totals.","open","high"
"Q-0045","13-Sep-2025 18:51","Elijah","Accuracy","History item missing after update","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","seen twice this week","Confirmation message should reflect successful persistence.","new","urgent"
"Q-0046","11/22/2025 3:54 PM","James","Permissions","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Change date range, export report, reopen page, and compare total counts.","need more check","Displayed totals should match exported totals.","new","high"
"Q-0047","19-Dec-2025 18:21","Elijah","Upload","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Apply filter, open first result, modify title, return to list, and inspect row data.","maybe cache issue","Updated values should remain consistent after refresh.","open","urgent"
"Q-0048","2025-10-07 23:45","Olivia","Mobile","Dashboard load time is too slow","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Displayed totals should match exported totals.","open","high"
"Q-0049","28-Dec-2025 06:22","James","Notifications","Unauthorized user can view restricted details","Reported by support after user complaints. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Page should respond within acceptable wait time.","open","low"
"Q-0050","2025-10-03 15:53","Harper","Upload","Unauthorized user can view restricted details","Observed by QA during routine regression checks. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe cache issue","Confirmation message should reflect successful persistence.","need check","low"
"Q-0051","2025-09-30 12:54","Henry","Latency","Notification appears for wrong recipient","Observed by QA during routine regression checks. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Page should respond within acceptable wait time.","need check","low"
"Q-0052","01/31/2026 1:17 AM","Noah","Export","History item missing after update","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","seen twice this week","Users should only access data within granted permissions.","need check","high"
"Q-0053","10/22/2025 10:27 AM","Mia","Feature","Save button confirms but data is not persisted","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Updated values should remain consistent after refresh.","new","high"
"Q-0054","21-Jan-2026 05:17","Lucas","Reporting","Incorrect assignee shown on issue detail","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","customer raised this","Displayed totals should match exported totals.","new","high"
"Q-0055","25-Sep-2025 17:24","Benjamin","Usability","History item missing after update","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe cache issue","Page should respond within acceptable wait time.","open","urgent"
"Q-0056","20-Oct-2025 13:27","Olivia","Export","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","maybe cache issue","Displayed totals should match exported totals.","need check","low"
"Q-0057","02/24/2026 2:10 PM","Noah","Security","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Users should only access data within granted permissions.","open","normal"
"Q-0058","10/27/2025 10:19 PM","Jack","Security","Search result order changes unexpectedly","Occurs intermittently but with similar interaction pattern. Observed by QA during routine regression checks.","Change date range, export report, reopen page, and compare total counts.","need more check","Updated values should remain consistent after refresh.","retest","normal"
"Q-0059","02/28/2026 5:44 PM","Liam","Search","Weekly totals are inconsistent after refresh","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Users should only access data within granted permissions.","open","low"
"Q-0060","10/01/2025 7:44 AM","Benjamin","Usability","Search result order changes unexpectedly","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Updated values should remain consistent after refresh.","open","high"
"Q-0061","2026-02-25 06:15","Sophia","Mobile","Unauthorized user can view restricted details","Occurs intermittently but with similar interaction pattern. Reported by support after user complaints.","Create a new item, add note, submit, refresh browser, and verify recent activity.","need more check","Page should respond within acceptable wait time.","retest","low"
"Q-0062","2025-11-26 05:58","Evelyn","Security","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Users should only access data within granted permissions.","new","high"
"Q-0063","16-Sep-2025 00:35","Noah","Security","Exported file contains stale values","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Page should respond within acceptable wait time.","new","low"
"Q-0064","2025-11-06 20:27","Henry","Export","History item missing after update","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","seen twice this week","Updated values should remain consistent after refresh.","retest","low"
"Q-0065","11-Feb-2026 23:17","James","Dashboard","Save button confirms but data is not persisted","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","customer raised this","Displayed totals should match exported totals.","need check","urgent"
"Q-0066","23-Nov-2025 15:21","Sophia","Latency","Search result order changes unexpectedly","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Updated values should remain consistent after refresh.","need check","normal"
"Q-0067","10/14/2025 11:49 AM","Evelyn","Upload","Save button confirms but data is not persisted","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Page should respond within acceptable wait time.","new","urgent"
"Q-0068","31-Jan-2026 08:33","Benjamin","Profile","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Reproduced by multiple team members in separate sessions.","Change date range, export report, reopen page, and compare total counts.","maybe cache issue","Confirmation message should reflect successful persistence.","new","normal"
"Q-0069","13-Nov-2025 07:06","Olivia","Profile","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Users should only access data within granted permissions.","new","normal"
"Q-0070","09/27/2025 9:21 AM","Lucas","Security","Exported file contains stale values","Observed by QA during routine regression checks. Observed by QA during routine regression checks.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Displayed totals should match exported totals.","new","urgent"
"Q-0071","19-Jan-2026 00:37","Elijah","Reporting","Dashboard load time is too slow","Reproduced by multiple team members in separate sessions. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","need more check","Users should only access data within granted permissions.","need check","urgent"
"Q-0072","02/04/2026 2:15 PM","Ava","Dashboard","Weekly totals are inconsistent after refresh","Observed by QA during routine regression checks. Occurs intermittently but with similar interaction pattern.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","maybe cache issue","Updated values should remain consistent after refresh.","retest","high"
"Q-0073","10/05/2025 5:40 PM","Amelia","Search","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Updated values should remain consistent after refresh.","open","high"
"Q-0074","10/14/2025 8:22 PM","Ava","Feature","Unauthorized user can view restricted details","Reproduced by multiple team members in separate sessions. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","need more check","Updated values should remain consistent after refresh.","retest","normal"
"Q-0075","22-Nov-2025 15:01","Emma","Notifications","History item missing after update","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Page should respond within acceptable wait time.","retest","high"
"Q-0076","16-Oct-2025 09:54","Jack","Mobile","Incorrect assignee shown on issue detail","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","customer raised this","Updated values should remain consistent after refresh.","new","high"
"Q-0077","02/14/2026 6:51 AM","Olivia","Usability","Dashboard load time is too slow","Impacts daily workflow and causes user confusion. Occurs intermittently but with similar interaction pattern.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","need more check","Displayed totals should match exported totals.","need check","low"
"Q-0078","2026-01-23 05:02","Benjamin","Usability","Weekly totals are inconsistent after refresh","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Confirmation message should reflect successful persistence.","need check","normal"
"Q-0079","12/02/2025 5:08 PM","Mia","Dashboard","Incorrect assignee shown on issue detail","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Create a new item, add note, submit, refresh browser, and verify recent activity.","customer raised this","Updated values should remain consistent after refresh.","retest","low"
"Q-0080","12/04/2025 11:14 PM","Lucas","Notifications","Weekly totals are inconsistent after refresh","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Apply filter, open first result, modify title, return to list, and inspect row data.","customer raised this","Displayed totals should match exported totals.","new","high"
"Q-0081","01/25/2026 9:21 PM","Emma","Search","Weekly totals are inconsistent after refresh","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","customer raised this","Page should respond within acceptable wait time.","new","normal"
"Q-0082","2025-09-17 22:46","Lucas","Security","Profile updates are not reflected immediately","Reproduced by multiple team members in separate sessions. Observed by QA during routine regression checks.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Page should respond within acceptable wait time.","need check","urgent"
"Q-0083","2025-11-26 10:53","Henry","Security","Unauthorized user can view restricted details","Observed by QA during routine regression checks. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","customer raised this","Updated values should remain consistent after refresh.","retest","normal"
"Q-0084","2026-01-30 10:33","Henry","Dashboard","Profile updates are not reflected immediately","Observed by QA during routine regression checks. Observed by QA during routine regression checks.","Change date range, export report, reopen page, and compare total counts.","need more check","Page should respond within acceptable wait time.","need check","low"
"Q-0085","10/24/2025 1:25 PM","Emma","Security","Profile updates are not reflected immediately","Impacts daily workflow and causes user confusion. Impacts daily workflow and causes user confusion.","Create a new item, add note, submit, refresh browser, and verify recent activity.","seen twice this week","Confirmation message should reflect successful persistence.","retest","high"
"Q-0086","10/08/2025 9:56 PM","Mia","Export","Save button confirms but data is not persisted","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","seen twice this week","Users should only access data within granted permissions.","new","normal"
"Q-0087","05-Oct-2025 02:21","Amelia","Upload","Weekly totals are inconsistent after refresh","Observed by QA during routine regression checks. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Confirmation message should reflect successful persistence.","open","urgent"
"Q-0088","01-Oct-2025 02:17","Benjamin","Usability","Profile updates are not reflected immediately","Reported by support after user complaints. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Confirmation message should reflect successful persistence.","need check","low"
"Q-0089","2025-10-30 01:45","Mia","Accuracy","Save button confirms but data is not persisted","Impacts daily workflow and causes user confusion. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Displayed totals should match exported totals.","retest","normal"
"Q-0090","08-Dec-2025 07:44","Henry","Checkout","History item missing after update","Occurs intermittently but with similar interaction pattern. Reported by support after user complaints.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","need more check","Users should only access data within granted permissions.","new","low"
"Q-0091","10/29/2025 12:41 AM","Ava","Notifications","Dashboard load time is too slow","Observed by QA during routine regression checks. Impacts daily workflow and causes user confusion.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","maybe cache issue","Confirmation message should reflect successful persistence.","new","normal"
"Q-0092","06-Jan-2026 09:41","Emma","Latency","Incorrect assignee shown on issue detail","Impacts daily workflow and causes user confusion. Observed by QA during routine regression checks.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","need more check","Confirmation message should reflect successful persistence.","retest","normal"
"Q-0093","22-Feb-2026 19:27","Mia","Accuracy","Notification appears for wrong recipient","Reported by support after user complaints. Impacts daily workflow and causes user confusion.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Page should respond within acceptable wait time.","open","normal"
"Q-0094","2025-09-23 11:15","Olivia","Dashboard","Dashboard load time is too slow","Observed by QA during routine regression checks. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","customer raised this","Confirmation message should reflect successful persistence.","retest","low"
"Q-0095","2026-01-06 13:27","Olivia","Search","Save button confirms but data is not persisted","Reported by support after user complaints. Reproduced by multiple team members in separate sessions.","Apply filter, open first result, modify title, return to list, and inspect row data.","maybe cache issue","Displayed totals should match exported totals.","new","urgent"
"Q-0096","2026-01-20 11:40","Sophia","Latency","Unauthorized user can view restricted details","Impacts daily workflow and causes user confusion. Reproduced by multiple team members in separate sessions.","Open dashboard, select a record, edit one field, click Save, refresh, and reopen the record.","seen twice this week","Displayed totals should match exported totals.","open","high"
"Q-0097","03-Dec-2025 20:56","Mia","Feature","Dashboard load time is too slow","Occurs intermittently but with similar interaction pattern. Reported by support after user complaints.","Log in as standard user, navigate to summary, switch tabs, return, and compare values.","seen twice this week","Updated values should remain consistent after refresh.","need check","low"
"Q-0098","2025-11-23 18:06","Mason","Usability","Incorrect assignee shown on issue detail","Observed by QA during routine regression checks. Reported by support after user complaints.","Change date range, export report, reopen page, and compare total counts.","customer raised this","Page should respond within acceptable wait time.","new","low"
"Q-0099","09/03/2025 9:32 AM","Henry","Export","Profile updates are not reflected immediately","Occurs intermittently but with similar interaction pattern. Impacts daily workflow and causes user confusion.","Apply filter, open first result, modify title, return to list, and inspect row data.","seen twice this week","Users should only access data within granted permissions.","retest","normal"
"Q-0100","30-Nov-2025 16:46","James","Mobile","Search result order changes unexpectedly","Reported by support after user complaints. Occurs intermittently but with similar interaction pattern.","Change date range, export report, reopen page, and compare total counts.","seen twice this week","Updated values should remain consistent after refresh.","retest","low"
